product,answer_option,label,review_len,Rn,Rp,Rs,Rc,Rd,Rsc
Accucheck,Fast and accurate delivery,0,4,0.23292769880313915,0.30000000000000004,0.6166666666666667,0.005412719891745603,1.0,0.0
Accucheck,Expected a longer expire date. Your Product Listings should mention the expire date too.,0,14,1.017528954704704,-0.1,0.4,0.017591339648173207,1.0,0.0
Accucheck,I liked the prompt service,0,5,0.3197556667212691,0.6,0.8,0.006765899864682003,1.0,0.4215
Accucheck,Good product,0,2,0.5443026476365134,0.7,0.6000000000000001,0.0027063599458728013,0.0,0.4404
Accucheck,I not needed,0,3,0.0,0.0,0.0,0.0040595399188092015,0.0,0.0
Accucheck,Not received the product.,0,4,0.3907152806801389,0.0,0.0,0.005412719891745603,0.0,0.0
Accucheck,The chip is not given that I actually was looking,0,10,0.2272741952978477,0.0,0.1,0.013531799729364006,0.0,0.0
Accucheck,Damage in your accu chek active strip,0,7,0.5657488573270084,-0.13333333333333333,0.6,0.009472259810554804,1.0,-0.128
Accucheck,The reading is very accurate,1,5,0.5443341396018254,0.5200000000000001,0.8233333333333335,0.006765899864682003,0.0,0.0
Accucheck,I PREFER A STRIP THAT DRAW BLOOD .INSTEAD OF APPLYING DROP OFBLOOD AT AN APPROPRIATE SPOT IN THE STRIP,0,19,0.5504125624640747,0.5,0.5,0.02435723951285521,0.0,-0.2732
Accucheck,it was good service.,0,4,0.6098387323529202,0.7,0.6000000000000001,0.005412719891745603,1.0,0.4404
Accucheck,Reliable,0,1,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0
Accucheck,It is a good product,1,5,0.5443026476365134,0.7,0.6000000000000001,0.006765899864682003,0.0,0.4404
Accucheck,Good,0,1,0.0,0.7,0.6000000000000001,0.0013531799729364006,0.0,0.4404
Accucheck,Not used yet,0,3,0.0,0.0,0.0,0.0040595399188092015,0.0,0.0
Accucheck,Good price with Comfortable expire date,0,6,0.5709882150699597,0.55,0.7000000000000001,0.008119079837618403,1.0,0.7351
Accucheck,I like the accuracy,1,4,0.6028212199838666,0.0,0.0,0.005412719891745603,0.0,0.3612
Accucheck,Easy ordering,0,2,0.47131191159187963,0.43333333333333335,0.8333333333333334,0.0027063599458728013,0.0,0.4404
Accucheck,Late delivery,0,2,0.349978540741827,-0.3,0.6,0.0027063599458728013,1.0,0.0
Accucheck,It had only 7 months validity on delivery against one year normal validity Your webster is bad as it doesn indicate the expire before purchase and your executive says they canst send at least ten months validity strips as they are not aware of the same,0,46,1.0015691240297213,-0.13928571428571426,0.4416666666666666,0.05412719891745602,1.0,-0.5423
Accucheck,Strips not Working at all,1,5,0.40600265521095746,0.0,0.0,0.006765899864682003,0.0,0.0
